state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
NSW,23/05/2021,2,1097515,13088,NA,NA,NA
NSW,22/05/2021,1,1084427,31894,NA,NA,NA
NSW,21/05/2021,0,1052533,34055,NA,NA,NA
NSW,20/05/2021,2,1018478,31772,NA,NA,NA
NSW,19/05/2021,2,986706,30898,NA,NA,NA
NSW,18/05/2021,3,955808,28344,NA,NA,NA
NSW,17/05/2021,2,927464,1222,NA,NA,NA
NSW,16/05/2021,3,926242,12610,NA,NA,NA
NSW,15/05/2021,3,913632,26480,NA,NA,NA
NSW,14/05/2021,1,887152,27906,NA,NA,NA
NSW,13/05/2021,5,859246,26151,NA,NA,NA
NSW,12/05/2021,4,833095,24844,NA,NA,NA
NSW,11/05/2021,4,808251,20977,NA,NA,NA
NSW,10/05/2021,6,787274,1120,NA,NA,NA
NSW,9/05/2021,6,786154,7342,NA,NA,NA
NSW,8/05/2021,6,778812,21588,NA,NA,NA
NSW,7/05/2021,5,757224,22071,NA,NA,NA
NSW,6/05/2021,10,735153,21883,NA,NA,NA
NSW,5/05/2021,11,713270,22134,NA,NA,NA
NSW,4/05/2021,7,691136,17858,NA,NA,NA
NSW,3/05/2021,5,673278,916,NA,NA,NA
NSW,2/05/2021,3,672362,5119,NA,NA,NA
NSW,1/05/2021,4,667243,17345,NA,NA,NA
NSW,30/04/2021,13,649898,19680,NA,NA,NA
NSW,29/04/2021,15,630218,25408,NA,NA,NA
NSW,28/04/2021,9,604810,16760,NA,NA,NA
NSW,27/04/2021,12,588050,13633,NA,NA,NA
NSW,26/04/2021,8,574417,525,NA,NA,NA
NSW,25/04/2021,1,573892,5711,NA,NA,NA
NSW,24/04/2021,1,568181,17839,NA,NA,NA
NSW,23/04/2021,18,550342,19811,NA,NA,NA
NSW,22/04/2021,7,530531,21032,NA,NA,NA
NSW,21/04/2021,8,509499,20742,NA,NA,NA
NSW,20/04/2021,3,488757,19933,NA,NA,NA
NSW,19/04/2021,8,468824,21585,NA,NA,NA
NSW,18/04/2021,6,447239,6843,NA,NA,NA
NSW,17/04/2021,7,440396,17916,NA,NA,NA
NSW,16/04/2021,7,422480,19342,NA,NA,NA
NSW,15/04/2021,9,403138,20451,NA,NA,NA
NSW,14/04/2021,3,382687,20781,NA,NA,NA
NSW,13/04/2021,5,361906,17588,NA,NA,NA
NSW,12/04/2021,9,344318,2003,NA,NA,NA
NSW,11/04/2021,6,342315,7045,NA,NA,NA
NSW,10/04/2021,4,335270,19083,NA,NA,NA
NSW,9/04/2021,2,316187,175636,NA,NA,NA
